product_id,name,category,price
1,Himself,Home,111.25
2,Attorney,Sports,167.75
3,Manager,Sports,158.68
4,Fact,Sports,360.91
5,Grow,Home,13.8
6,Forward,Electronics,391.62
7,Minute,Clothing,271.0
8,It,Sports,7.15
9,Picture,Clothing,258.66
10,Production,Home,263.01
11,Enjoy,Electronics,270.28
12,Say,Home,392.51
13,Set,Electronics,212.57
14,Education,Clothing,14.86
15,Inside,Electronics,290.41
16,Skin,Sports,144.94
17,Guess,Books,236.06
18,Ago,Sports,391.81
19,Raise,Electronics,52.3
20,Although,Home,388.6
21,Bring,Home,398.96
22,As,Sports,158.75
23,Know,Clothing,479.19
24,Card,Sports,337.66
25,Support,Clothing,119.99
26,Eat,Clothing,372.02
27,Too,Sports,446.68
28,Interesting,Clothing,249.79
29,Ask,Home,74.74
30,I,Electronics,381.4
31,Character,Electronics,183.12
32,Throw,Sports,75.65
33,Our,Books,109.21
34,Sign,Clothing,312.76
35,Whole,Electronics,15.69
36,Join,Books,266.61
37,War,Home,42.48
38,Consumer,Clothing,211.21
39,Minute,Electronics,312.46
40,Alone,Clothing,277.18
41,Summer,Sports,227.0
42,Commercial,Electronics,181.92
43,Toward,Home,161.9
44,Mean,Clothing,122.31
45,Capital,Electronics,243.97
46,Rock,Books,367.02
47,Know,Sports,269.23
48,Because,Home,44.22
49,Indeed,Books,67.08
50,Do,Sports,361.92
51,Claim,Electronics,9.64
52,Lawyer,Books,427.9
53,Thought,Books,489.09
54,Though,Books,191.7
55,Thus,Electronics,188.56
56,Another,Home,98.17
57,Approach,Books,57.47
58,Good,Electronics,447.62
59,Brother,Clothing,493.16
60,Identify,Books,285.98
61,Indicate,Electronics,183.55
62,Oil,Sports,348.79
63,Down,Electronics,462.26
64,In,Electronics,183.62
65,Trial,Electronics,216.05
66,Heart,Clothing,86.63
67,Type,Electronics,407.75
68,So,Books,98.46
69,System,Sports,41.55
70,Increase,Books,279.59
71,Bill,Home,287.44
72,Cover,Electronics,241.01
73,Difficult,Clothing,414.3
74,Record,Home,472.21
75,Responsibility,Books,185.86
76,Door,Sports,101.99
77,Establish,Clothing,207.66
78,Detail,Sports,157.78
79,Arm,Books,365.36
80,Even,Home,139.16
81,Able,Clothing,169.92
82,Improve,Books,366.72
83,Entire,Home,20.7
84,Election,Books,282.56
85,Politics,Home,59.24
86,Enough,Books,35.08
87,Well,Books,169.88
88,Everybody,Clothing,427.9
89,All,Books,249.75
90,Throw,Home,157.48
91,Just,Electronics,344.51
92,Save,Clothing,437.28
93,Spend,Electronics,497.5
94,Party,Home,280.87
95,Inside,Home,72.82
96,Citizen,Electronics,391.26
97,Reason,Sports,285.12
98,Interest,Sports,32.39
99,Campaign,Clothing,242.79
100,Would,Sports,377.25
